语言学术语	yuyanxueshuyu
重复阶段	chongfujieduan
重复体	chongfuti
重复同义词	chongfutongyici
重构	zhonggou
重构形式	zhonggouxingshi
重构连续体	zhonggoulianxuti
重建论	chongjianlun
重建式换码	chongjianshihuanma
重述	chongshu
重述操练	chongshucaolian
重写	zhongxie
重新范畴化	chongxinfanchouhua
重新分析	chongxinfenxi
重新合成	chongxinhecheng
重新排序	chongxinpaixu
重言法	zhongyanfa
抽取移位域条件	chouquyiweiyutiaojian
抽象词	chouxiangci
抽象格	chouxiangge
抽象关联原则	chouxiangguanlianyuanze
抽象化	chouxianghua
抽象性争论	chouxiangxingzhenglun
抽象域	chouxiangyu
出现	chuxian
初始短语标记	chushiduanyubiaoji
初始结构	chushijiegou
初始双语现象	chushishuangyuxianxiang
初始状态	chushizhuangtai
除阻	chuzu
触发条件	chufatiaojian
传播	chuanbo
传导性失语症	chuandaoxingshiyuzheng
传统原则	chuantongyuanze
传统重音	chuantongzhongyin
创新	chuangxin
创造性构建	chuangzaoxinggoujian
创造性结构假说	chuangzaoxingjiegoujiashuo
垂悬分词结构	chuixuanfencijiegou
锤子和铁砧	chuizihetiezhen
纯理功能	chunligongneng
纯音词	chunyinci
纯语用学	chunyuyongxue
纯语主义	chunyuzhuyi
纯元音	chunyuanyin
唇齿音	chunchiyin
唇读法	chundufa
唇音	chunyin
词	ci
词本位教学法	cibenweijiaoxuefa
词比较	cibijiao
词表	cibiao
词串	cichuan
词的内部形式	cideneibuxingshi
词的屈折后缀	cidequshehouzhui
词典编纂学	cidianbianzuanxue
词典意义	cidianyiyi
词对	cidui
词分布	cifenbu
词符	cifu
词符文字	cifuwenzi
词符音节文字	cifuyinjiewenzi
词干	cigan
词干复合词	ciganfuheci
词干孤立语	ciganguliyu
词干屈折语	ciganqusheyu
词根	cigen
词根创词	cigenchuangci
词根反义词	cigenfanyici
词根孤立语	cigenguliyu
词根名词	cigenmingci
词根屈折语	cigenqusheyu
词根语	cigenyu
词根重音的	cigenzhongyinde
词汇变化	cihuibianhua
词汇参数化假说	cihuicanshuhuajiashuo
词汇层	cihuiceng
词汇场	cihuichang
词汇场理论	cihuichanglilun
词汇重组	cihuichongzu
词汇重组假说	cihuichongzujiashuo
词汇词	cihuici
词汇单位	cihuidanwei
词汇等级	cihuidengji
词汇地图	cihuiditu
词汇动词	cihuidongci
词汇范畴	cihuifanchou
词汇概念	cihuigainian
词汇功能语法	cihuigongnengyufa
词汇关系公式	cihuiguanxigongshi
词汇规则	cihuiguize
词汇结构学	cihuijiegouxue
词汇空缺	cihuikongque
词汇扩散	cihuikuosan
词汇密度	cihuimidu
词汇歧义	cihuiqiyi
词汇体	cihuiti
词汇统计学	cihuitongjixue
词汇完整性假设	cihuiwanzhengxingjiashe
词汇晚插入	cihuiwancharu
词汇系统	cihuixitong
词汇衔接	cihuixianjie
词汇形态学	cihuixingtaixue
词汇选择	cihuixuanze
词汇学	cihuixue
词汇学派	cihuixuepai
词汇意义	cihuiyiyi
词汇意义	cihuiyiyi
词汇音系学	cihuiyinxixue
词汇语法	cihuiyufa
词汇—语法连续体	cihuiyufalianxuti
词汇语素	cihuiyusu
词汇语义学	cihuiyuyixue
词汇主义	cihuizhuyi
词基语素	cijiyusu
词界	cijie
词库	ciku
词类	cilei
词类转化	cileizhuanhua
词聋	cilong
词盲	cimang
词末增音	cimozengyin
词末重音	cimozhongyin
词内语音变位	cineiyuyinbianwei
词频	cipin
词频统计	cipintongji
词品	cipin
词群	ciqun
词首屈折	cishouqushe
词素变体	cisubianti
词素学	cisuxue
词条	citiao
词尾	ciwei
词尾变体	ciweibianti
词尾加音	ciweijiayin
词尾重复	ciweichongfu
词位	ciwei
词位结构学	ciweijiegouxue
词文字	ciwenzi
词项	cixiang
词项	cixiang
词项插入规则	cixiangcharuguize
词项和过程语法	cixiangheguochengyufa
